License_Class_Description,Total_Licenses_Count
MOTOR CYCLE  BELOW  50CC,184
MOTOR CYCLE WITHOUT GEAR,122812
MOTOR CYCLE WITH GEAR,410112
THREE WHEELER,67060
AUTORICKSHAW TV,3291
INVALID CARRIAGE,94
LIGHT MOTOR VEHICLE,458486
MEDIUM GOODS VEHICLE,30
MEDIUM PASSENGER MOTOR VEHICLE,50
HEAVY PASSENGER MOTOR VEHICLE,26117
HEAVY GOODS MOTOR VEHICLE,26331
TRACTOR,739
ROAD ROLLER,229
HEAVY TRANSPORT VEHICLE,66
HEAVY MOTOR VEHICLE,113
MEDIUM TRANSPORT VEHICLE,7
MEDIUM MOTOR VEHICLE,31
POWER TRILLER,4
EXCAVATOR,1451
TRAILOR,311
TRANSPORT VEHICLE,25
INVALID CARRIAGE (MOTOR CYCLE),1709
INVALID CARRIAGE (L.M.V),147
INVALID CARRIAGE (THREE WHEELER),22
CRANE,1129
MOTOR CYCLE WITH  SIDE CAR,3
LIGHT MOTOR VEHICLE TRACTOR TRILLER,22
LIGHT MOTR VEHICLE TRACTOR TRAILER,90
FORK LIFT,1304
FIRE AND CRASH FIRE TENDER,90
REFUELLER,2
LMV AUTOMATIC GEAR,1193
HEAVY GOODS VEHICLE TRACTOR TRAILER,2
LIGHT MOTOR ARTICULATED VEHICLE,2
HEAVY GOODS ARTICULATED VEHICLE,1
