Vehicle_Type_Category,Class_Description,Total_Registered_Count
Transport,LMV - 3 WHEELED VEHICLE FOR TRANSPORT- PASSENGER (A/R),570386
Transport,LMV - 3 WHEELED VEHICLE FOR TRANSPORT- GOODS,152745
Transport,LMV - LUXURY TAXI,2841
Transport,LMV - AUTORICKSHAW CITY PERMIT,106331
Transport,LMV - MAXICAB,6670
Transport,LMV - GOODS CARRIER TRUCK,275631
Transport,MGV - GOODS CARRIER TRUCK,25623
Transport,HGV - GOODS CARRIER TRUCK,47429
Transport,HGV- MULTI AXLED VEHICLE,2072
Transport,LGV - ARTICULATED VEHICLE,11958
Transport,MGV- ARTICULATED VEHICLE,1408
Transport,HGV-ARTICULATED VEHICLE,2597
Transport,LMV - PRIVATE SERVICE VEHICLE,4921
Transport,MPMV - PRIVATE SERVICE VEHICLE,483
Transport,HPMV - PRIVATE SERVICE VEHICLE,1191
Transport,LMV-CONTRACT CARRIAGE (EIB),19895
Transport,MPMV-CONTRACT CARRIAGE (EIB),5312
Transport,HPMV-CONTRACT CARRIAGE (EIB),3827
Transport,LMV - STAGE CARRIAGE,12106
Transport,MPMV - STAGE CARRIAGE,4287
Transport,HPMV - STAGE CARRIAGE,36975
Transport,LMV STAGE CARRIAGE-RESERVE,425
Transport,MPMV STAGE CARRIAGE-RESERVE,102
Transport,HPMV STAGE CARRIAGE-RESERVE,804
Transport,LMV INTERSTATE CONTRACT CARRIAGE,429
Transport,MPMV - INTERSTATE CONTRACT CARRIAGE,86
Transport,HPMV - INTERSTATE CONTRACT CARRIAGE,91
Transport,LMV - CONTRACT CARRIAGE,37963
Transport,MPMV - CONTRACT CARRIAGE,1368
Transport,HPMV - CONTRACT CARRIAGE,5799
Transport,LMV - ALL INDIA TOURIST TAXI,37400
Transport,MPMV  - ALL INDIA TOURIST OMNI-BUS,453
Transport,HPMV -ALL INDIA TOURIST OMNI-BUS,269
Transport,MGV - EXCAVATOR,342
Transport,HGV - EXCAVATOR,156
Transport,LGV - GOODS CARRIER TANKER,1887
Transport,MGV - GOODS CARRIER TANKER,207
Transport,HGV - GOODS CARRIER TANKER,1975
Transport,LGV - WATER TANKER,445
Transport,MGV - WATER TANKER,173
Transport,HGV - WATER TANKER,585
Transport,LGV - OIL TANKER,34
Transport,MGV - OIL TANKER,16
Transport,HGV - OIL TANKER,209
Transport,LGV - GAS TANKER,28
Transport,MGV - GAS TANKER,3
Transport,HGV - GAS TANKER,36
Transport,LGV - HAZARADOUS GOODS TANKER,97
Transport,MGV - HAZARADOUS GOODS TANKER,22
Transport,HGV - HAZARADOUS GOODS TANKER,1206
Transport,LMV - MOTOR CAB,141292
Transport,LGV - GOODS CARRIER MAIL CARRIER,325
Transport,MGV - GOODS CARRIER MAIL CARRIER,40
Transport,HGV - GOODS CARRIER MAIL CARRIER,129
Transport,LMV - TRACTOR - TRAILOR,2571
Transport,MGV - TRACTOR - TRAILOR,317
Transport,HGV - TRACTOR - TRAILOR,248
Transport,LMV - TRAILER,660
Transport,MGV - TRAILER,41
Transport,HGV - TRAILER,73
Transport,LMV - MOBILE CLINIC,58
Transport,MGV - MOBILE CLINIC,10
Transport,HGV - MOBLIE CLINIC,19
Transport,LMV - MOBILE X-RAY VAN,32
Transport,MGV - MOBILE X-RAY VAN,7
Transport,HGV - MOBILE X-RAY VAN,9
