City,Ward,Ward_No,Month,Year,Units_Consumed_kWh,Revenue_INR
Thiruvananthapuram,Chalai,71,Jan,2021,130.95,1309.5
Thiruvananthapuram,Chalai,71,Feb,2021,145.36,1453.6000000000001
Thiruvananthapuram,Chalai,71,Mar,2021,186.4,1864.0
Thiruvananthapuram,Chalai,71,Apr,2021,29.41,294.1
Thiruvananthapuram,Chalai,71,May,2021,,
Thiruvananthapuram,Chalai,71,Jun,2021,,
Thiruvananthapuram,Chalai,71,Jul,2021,3.84,38.4
Thiruvananthapuram,Chalai,71,Aug,2021,107.02,1070.2
Thiruvananthapuram,Chalai,71,Sep,2021,159.16,1591.6
Thiruvananthapuram,Chalai,71,Oct,2021,440.48,4404.8
Thiruvananthapuram,Chalai,71,Nov,2021,975.32,9753.2
Thiruvananthapuram,Chalai,71,Dec,2021,108.66,1086.6
